Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
58,Proposed,45.6331,47.1979,45.3282,19.9469,21.7383,19.3799,45.2559,48.6331,44.4586,19.3131,21.3711,18.9193,,78.75
58,Meta_Learning,46.5693,48.2812,46.3133,20.9605,22.594,20.3211,46.4835,50.2443,45.8239,21.0474,22.9425,20.6032,,81.25
58,Pre_Training,46.5693,48.2812,46.3133,20.9605,22.594,20.3211,46.4835,50.2443,45.8239,21.0474,22.9425,20.6032,,81.25
59,Proposed,43.5982,45.5157,43.3557,23.3462,25.8494,21.7624,46.2666,49.5176,45.8976,25.6337,28.2928,24.6549,,69.697
59,Meta_Learning,46.1325,48.2046,45.9551,25.0319,27.3873,23.3908,49.3211,52.6297,49.1235,26.3573,29.0183,25.2139,,71.2121
59,Pre_Training,46.1325,48.2046,45.9551,25.0319,27.3873,23.3908,49.3211,52.6297,49.1235,26.3573,29.0183,25.2139,,71.2121
60,Proposed,42.5199,44.5181,41.1849,23.8816,25.8244,22.7157,47.6707,48.5948,47.49,26.5465,28.7619,25.8145,,75.3623
60,Meta_Learning,45.1021,47.2049,43.9947,24.779,26.6682,23.5641,49.6033,50.5597,49.4548,28.2515,30.4187,27.4943,,76.8116
60,Pre_Training,45.1021,47.2049,43.9947,24.779,26.6682,23.5641,49.6033,50.5597,49.4548,28.2515,30.4187,27.4943,,76.8116
Overall_Average,Proposed,43.9171,45.7439,43.2896,22.3916,24.4707,21.286,46.3977,48.9152,45.9487,23.8311,26.1419,23.1296,,74.0908
Overall_Average,Meta_Learning,45.9346,47.8969,45.421,23.5905,25.5498,22.4253,48.4693,51.1446,48.1341,25.2187,27.4598,24.4371,,75.5184
Overall_Average,Pre_Training,45.9346,47.8969,45.421,23.5905,25.5498,22.4253,48.4693,51.1446,48.1341,25.2187,27.4598,24.4371,,75.5184
